Date,Open,High,Low,Close,Adj Close,Volume,Monthly Total Return,Monthly Risk Free Return,Monthly Equity Premium
8/1/2011,27.040001,27.040001,22.91,24.719999,17.973076,0,-0.122039721,8.33E-05,-0.122123021
9/1/2011,24.58,24.58,21.059999,21.879999,15.908207,0,0.112283539,1.67E-05,0.112266839
10/1/2011,21.190001,25.950001,21.190001,24.48,17.79858,0,-0.033648057,1.67E-05,-0.033664757
11/1/2011,23.49,24.530001,21.32,23.67,17.209656,0,-0.065919444,8.33E-06,-0.065927774
12/1/2011,23.51,23.780001,21.780001,22.16,16.111788,0,0.097552615,8.33E-06,0.097544285
1/1/2012,22.93,23.610001,22.07,23.34,17.762754,0,0.054608118,1.67E-05,0.054591418
2/1/2012,23.85,24.940001,23.85,24.65,18.759718,0,0.001621364,5.00E-05,0.001571364
3/1/2012,24.940001,25.27,23.73,24.690001,18.790159,0,-0.02377166,6.67E-05,-0.02383836
4/1/2012,25.049999,25.049999,23.15,24.110001,18.348753,0,-0.127211318,5.83E-05,-0.127269618
5/1/2012,24.26,24.26,21.200001,21.23,16.15695,0,0.074410901,8.33E-05,0.074327601
6/1/2012,20.780001,22.870001,20.780001,22.870001,17.405064,0,0.006971708,5.83E-05,0.006913408
7/1/2012,23.09,23.27,21.690001,23.030001,17.526831,0,0.043752627,7.50E-05,0.043677627
8/1/2012,22.98,24.33,22.68,24.059999,18.310699,0,0.009925945,9.17E-05,0.009834245
9/1/2012,23.99,25.969999,23.99,24.299999,18.493355,0,0.038133339,7.50E-05,0.038058339
10/1/2012,24.57,25.440001,24.34,24.690001,19.212187,0,0.024405677,8.33E-05,0.024322377
11/1/2012,24.93,25.299999,23.709999,25.299999,19.686842,0,0.02729223,9.17E-05,0.02720053
12/1/2012,25.34,26.200001,25.34,26,20.231539,0,0.056209505,6.67E-05,0.056142805
1/1/2013,26.459999,27.459999,26.18,27.309999,21.401312,0,-0.032374674,4.17E-05,-0.032416374
2/1/2013,27.549999,27.549999,26.129999,26.440001,20.719547,0,-0.001135515,5.83E-05,-0.001193815
3/1/2013,26.360001,27.24,26.190001,26.41,20.696033,0,0.046613991,9.17E-05,0.046522291
4/1/2013,26.35,27.549999,25.959999,27.549999,21.683596,0,0,5.83E-05,-0.0000583
5/1/2013,27.49,28.32,27.469999,27.549999,21.683596,0,-0.062532172,4.17E-05,-0.062573872
6/1/2013,27.790001,27.92,25.35,25.879999,20.369198,0,0.090268517,3.33E-05,0.090235217
7/1/2013,26.16,27.9,25.889999,27.790001,22.293438,0,-0.013038989,3.33E-05,-0.013072289
8/1/2013,27.98,28.51,27.43,27.43,22.004641,0,0.063216091,3.33E-05,0.063182791
9/1/2013,27.790001,29.950001,27.790001,29.219999,23.440598,0,0.043583286,2.50E-05,0.043558286
10/1/2013,29.459999,30.799999,28.77,30.42,24.484806,0,0.011115052,1.67E-05,0.011098352
11/1/2013,30.24,30.76,30.040001,30.76,24.758474,0,0.021865765,3.33E-05,0.021832465
12/1/2013,30.52,31.440001,29.709999,31.440001,25.305799,0,-0.037393309,5.00E-05,-0.037443309
1/1/2014,30.879999,31.690001,30.17,30.17,24.377005,0,0.069456707,5.83E-05,0.069398407
2/1/2014,29.68,32.34,29.68,32.34,26.130337,0,-0.021566517,1.67E-05,-0.021583217
3/1/2014,31.5,32.439999,30.83,31.65,25.57283,0,0.040061652,4.17E-05,0.040019952
4/1/2014,31.9,32.459999,31.26,32.459999,26.618118,0,0.00767224,4.17E-05,0.00763054
5/1/2014,32.48,32.720001,32.209999,32.709999,26.823124,0,-0.016025046,2.50E-05,-0.016050046
6/1/2014,32.709999,33.080002,32.07,32.189999,26.396708,0,-0.026125667,3.33E-05,-0.026158967
7/1/2014,32.450001,32.66,30.870001,30.870001,25.716007,0,0.00613598,3.33E-05,0.00610268
8/1/2014,30.629999,31.24,30.040001,31.059999,25.874285,0,-0.045110304,2.50E-05,-0.045135304
9/1/2014,31.02,31.290001,29.690001,29.690001,24.733023,0,-0.017452986,2.50E-05,-0.017477986
10/1/2014,29.35,29.35,27.299999,29.049999,24.305103,0,0.02111767,1.67E-05,0.02110097
